162.159.0.38#CF 优选  15.46m/s
162.159.2.182#CF 优选  13.49m/s
162.159.49.40#CF 优选  11.51m/s
104.18.37.113#CF 优选  9.58m/s
104.18.32.33#CF 优选  9.3m/s
104.18.34.87#CF 优选  8.29m/s
104.18.38.108#CF 优选  5.3m/s
104.18.35.202#CF 优选  4.8m/s
104.18.36.35#CF 优选  4.41m/s
162.159.51.93#CF 优选  0.0m/s
108.162.192.199#bd 优选 BD 25.71m/s
172.64.34.147#bd 优选 BD 25.42m/s
162.159.1.226#bd 优选 BD 24.78m/s
172.64.35.81#bd 优选 BD 24.53m/s
162.159.2.139#bd 优选 BD 23.65m/s
162.159.3.73#bd 优选 BD 23.52m/s
162.159.0.55#bd 优选 BD 21.34m/s
108.162.195.240#bd 优选 BD 21.26m/s
108.162.194.64#bd 优选 BD 20.5m/s
172.64.32.46#bd 优选 BD 17.89m/s
108.162.194.154#sg 新加坡 SG 26.56m/s
162.159.0.92#sg 新加坡 SG 26.12m/s
162.159.3.42#sg 新加坡 SG 25.37m/s
198.41.223.129#sg 新加坡 SG 25.35m/s
162.159.9.194#sg 新加坡 SG 24.82m/s
173.245.58.119#sg 新加坡 SG 23.04m/s
162.159.10.136#sg 新加坡 SG 22.83m/s
173.245.59.219#sg 新加坡 SG 22.68m/s
162.159.11.226#sg 新加坡 SG 20.25m/s
108.162.195.172#sg 新加坡 SG 18.21m/s
108.162.198.56#jp 日本 JP 24.08m/s
162.159.38.227#jp 日本 JP 23.81m/s
172.64.229.206#jp 日本 JP 22.2m/s
162.159.39.172#jp 日本 JP 22.1m/s
172.64.230.177#jp 日本 JP 19.72m/s
172.64.231.246#jp 日本 JP 11.69m/s
104.19.1.36#us 美国 US 21.25m/s
104.17.3.170#us 美国 US 16.24m/s
190.93.246.210#us 美国 US 14.76m/s
198.41.219.248#us 美国 US 14.71m/s
104.16.0.246#us 美国 US 13.32m/s
198.41.195.102#us 美国 US 12.71m/s
104.17.0.6#us 美国 US 10.28m/s
104.26.0.162#de 德国 DE 18.09m/s
104.25.2.206#de 德国 DE 17.99m/s
104.25.3.41#de 德国 DE 16.9m/s
104.27.0.128#de 德国 DE 15.57m/s
104.21.3.55#de 德国 DE 14.42m/s
104.27.3.97#de 德国 DE 11.73m/s
104.26.1.124#de 德国 DE 10.57m/s
188.114.97.247#nl 荷兰 NL 20.16m/s
188.114.96.55#nl 荷兰 NL 16.52m/s
104.20.1.254#nl 荷兰 NL 16.35m/s
104.20.3.131#nl 荷兰 NL 11.78m/s
188.114.99.63#nl 荷兰 NL 11.72m/s
188.114.98.147#nl 荷兰 NL 11.25m/s
104.20.0.132#nl 荷兰 NL 10.56m/s
